Anyo,codigo_distrito,codigo_barrio,parados
2019,14,146,9098.0
2019,15,151,29925.0
2019,15,152,37164.0
2019,15,153,14957.0
2019,15,154,11235.0
2019,15,155,9147.0
2019,15,156,4615.0
2019,15,157,2788.0
2019,15,158,497.0
2019,15,159,8238.0
2019,16,161,2145.0
2019,16,162,4041.0
2019,16,163,19968.0
2019,16,164,30763.0
2019,16,165,9466.0
2019,16,166,22115.0
2019,17,171,41775.0
2019,17,172,17691.0
2019,17,173,12859.0
2019,17,174,27630.0
2019,17,175,22692.0
2019,18,181,38335.0
2019,18,182,17358.0
2019,19,191,29202.0
2019,19,192,13951.0
2019,20,201,18641.0
2019,20,202,8150.0
2019,20,203,8641.0
2019,20,204,18145.0
2019,20,205,14386.0
2019,20,206,7979.0
2019,20,207,18154.0
2019,20,208,5254.0
2019,21,211,6649.0
2019,21,212,1217.0
2019,21,213,4585.0
2019,21,214,6117.0
2019,21,215,2422.0
2020,1,11,18410.0
2020,1,12,42008.0
2020,1,13,7532.0
2020,1,14,11897.0
2020,1,15,24401.0
2020,1,16,5732.0
2020,2,21,13317.0
2020,2,22,21191.0
2020,2,23,14242.0
2020,2,24,9422.0
2020,2,25,15728.0
2020,2,26,17529.0
2020,2,27,897.0
2020,3,31,17455.0
2020,3,32,9741.0
2020,3,33,8443.0
2020,3,34,10353.0
2020,3,35,2402.0
2020,3,36,5052.0
2020,4,41,4637.0
2020,4,42,12590.0
2020,4,43,11436.0
2020,4,44,21176.0
2020,4,45,8801.0
2020,4,46,5198.0
2020,5,51,4920.0
2020,5,52,20370.0
2020,5,53,10289.0
2020,5,54,12034.0
2020,5,55,7941.0
2020,5,56,7713.0
2020,6,61,20910.0
2020,6,62,17693.0
2020,6,63,10858.0
2020,6,64,21965.0
2020,6,65,21230.0
2020,6,66,18964.0
2020,7,71,11014.0
2020,7,72,11772.0
2020,7,73,12708.0
2020,7,74,6623.0
2020,7,75,12171.0
2020,7,76,7211.0
2020,8,81,1867.0
2020,8,82,986.0
2020,8,83,23284.0
2020,8,84,26721.0
2020,8,85,12778.0
2020,8,86,36581.0
2020,8,87,11597.0
2020,8,88,5561.0
2020,9,91,7681.0
2020,9,92,11044.0
2020,9,93,5954.0
2020,9,94,18394.0
2020,9,95,1784.0
2020,9,96,811.0
2020,9,97,9511.0
2020,10,101,18105.0
2020,10,102,36622.0
2020,10,103,28813.0
2020,10,104,44215.0
2020,10,105,12849.0
2020,10,106,4280.0
2020,10,107,34201.0
2020,11,111,18872.0
2020,11,112,26383.0
2020,11,113,41512.0
2020,11,114,38231.0
2020,11,115,33963.0
2020,11,116,33665.0
2020,11,117,27698.0
2020,12,121,20768.0
2020,12,122,16508.0
2020,12,123,22892.0
2020,12,124,20175.0
2020,12,125,22944.0
2020,12,126,13198.0
2020,12,127,16083.0
2020,13,131,40857.0
2020,13,132,46668.0
2020,13,133,36813.0
2020,13,134,39315.0
2020,13,135,29205.0
2020,13,136,47590.0
2020,14,141,7442.0
2020,14,142,5141.0
2020,14,143,16575.0
2020,14,144,13214.0
2020,14,145,13999.0
2020,14,146,11162.0
2020,15,151,36347.0
2020,15,152,45581.0
2020,15,153,17808.0
2020,15,154,13595.0
2020,15,155,10580.0
2020,15,156,5809.0
2020,15,157,3439.0
2020,15,158,597.0
2020,15,159,9498.0
2020,16,161,2863.0
2020,16,162,5184.0
2020,16,163,23770.0
2020,16,164,37611.0
2020,16,165,10994.0
2020,16,166,26998.0
2020,17,171,50841.0
2020,17,172,21969.0
2020,17,173,15846.0
2020,17,174,33666.0
2020,17,175,28344.0
2020,18,181,44722.0
2020,18,182,19682.0
2020,19,191,33342.0
2020,19,192,16296.0
2020,20,201,22839.0
2020,20,202,9457.0
2020,20,203,10407.0
2020,20,204,21888.0
2020,20,205,16909.0
2020,20,206,9936.0
2020,20,207,21127.0
2020,20,208,6284.0
2020,21,211,8254.0
2020,21,212,1395.0
2020,21,213,5951.0
2020,21,214,7519.0
2020,21,215,3089.0
2021,1,11,19120.0
2021,1,12,41495.0
2021,1,13,7320.0
2021,1,14,12061.0
2021,1,15,24212.0
2021,1,16,5959.0
2021,2,21,13394.0
2021,2,22,20231.0
2021,2,23,14296.0
2021,2,24,9129.0
2021,2,25,15677.0
2021,2,26,17112.0
2021,2,27,910.0
