Anyo,codigo_distrito,codigo_barrio,autonomos
2018,20,204,489
2018,20,205,817
2018,20,206,527
2018,20,207,830
2018,20,208,417
2018,21,211,521
2018,21,212,82
2018,21,213,234
2018,21,214,353
2018,21,215,200
2019,1,11,2396
2019,1,12,4037
2019,1,13,1678
2019,1,14,2766
2019,1,15,3502
2019,1,16,1838
2019,2,21,1091
2019,2,22,1862
2019,2,23,947
2019,2,24,803
2019,2,25,1321
2019,2,26,1777
2019,2,27,64
2019,3,31,1887
2019,3,32,678
2019,3,33,958
2019,3,34,1688
2019,3,35,699
2019,3,36,910
2019,4,41,2983
2019,4,42,2735
2019,4,43,1214
2019,4,44,2562
2019,4,45,1816
2019,4,46,2300
2019,5,51,1906
2019,5,52,2188
2019,5,53,1420
2019,5,54,2430
2019,5,55,2037
2019,5,56,1032
2019,6,61,1354
2019,6,62,3171
2019,6,63,2168
2019,6,64,901
2019,6,65,1168
2019,6,66,1162
2019,7,71,1825
2019,7,72,1766
2019,7,73,2293
2019,7,74,2646
2019,7,75,2145
2019,7,76,1262
2019,8,81,101
2019,8,82,174
2019,8,83,1753
2019,8,84,1749
2019,8,85,1257
2019,8,86,2370
2019,8,87,1244
2019,8,88,652
2019,9,91,648
2019,9,92,2095
2019,9,93,998
2019,9,94,1101
2019,9,95,466
2019,9,96,349
2019,9,97,1714
2019,10,101,616
2019,10,102,1992
2019,10,103,1272
2019,10,104,2655
2019,10,105,654
2019,10,106,159
2019,10,107,1565
2019,11,111,1215
2019,11,112,1546
2019,11,113,1561
2019,11,114,2166
2019,11,115,1161
2019,11,116,1713
2019,11,117,1189
2019,12,121,527
2019,12,122,308
2019,12,123,675
2019,12,124,844
2019,12,125,1189
2019,12,126,484
2019,12,127,846
2019,13,131,1003
2019,13,132,1751
2019,13,133,1140
2019,13,134,1223
2019,13,135,1008
2019,13,136,1617
2019,14,141,216
2019,14,142,214
2019,14,143,1166
2019,14,144,563
2019,14,145,516
2019,14,146,471
2019,15,151,2068
2019,15,152,2768
2019,15,153,1461
2019,15,154,1203
2019,15,155,872
2019,15,156,787
2019,15,157,480
2019,15,158,152
2019,15,159,1160
2019,16,161,380
2019,16,162,967
2019,16,163,1893
2019,16,164,2078
2019,16,165,517
2019,16,166,2100
2019,17,171,2010
2019,17,172,285
2019,17,173,464
2019,17,174,1114
2019,17,175,1164
2019,18,181,1632
2019,18,182,765
2019,19,191,1184
2019,19,192,481
2019,20,201,1755
2019,20,202,184
2019,20,203,230
2019,20,204,676
2019,20,205,1228
2019,20,206,771
2019,20,207,1278
2019,20,208,528
2019,21,211,831
2019,21,212,99
2019,21,213,377
2019,21,214,467
2019,21,215,433
2020,1,11,2487
2020,1,12,4185
2020,1,13,1731
2020,1,14,2895
2020,1,15,3631
2020,1,16,1842
2020,2,21,1152
2020,2,22,1890
2020,2,23,982
2020,2,24,844
2020,2,25,1375
2020,2,26,1837
2020,2,27,65
2020,3,31,1965
2020,3,32,744
2020,3,33,993
2020,3,34,1754
2020,3,35,704
2020,3,36,929
2020,4,41,3121
2020,4,42,2841
2020,4,43,1261
2020,4,44,2673
2020,4,45,1889
2020,4,46,2414
2020,5,51,1961
2020,5,52,2242
2020,5,53,1465
2020,5,54,2467
2020,5,55,2117
2020,5,56,1064
2020,6,61,1420
2020,6,62,3224
2020,6,63,2215
2020,6,64,955
2020,6,65,1220
2020,6,66,1212
2020,7,71,1919
2020,7,72,1843
2020,7,73,2367
2020,7,74,2658
2020,7,75,2239
2020,7,76,1351
2020,8,81,99
2020,8,82,178
2020,8,83,1795
2020,8,84,1766
2020,8,85,1268
2020,8,86,2479
2020,8,87,1320
2020,8,88,682
2020,9,91,664
2020,9,92,2196
2020,9,93,1015
2020,9,94,1128
2020,9,95,503
2020,9,96,351
2020,9,97,1770
2020,10,101,605
2020,10,102,2116
2020,10,103,1341
2020,10,104,2665
2020,10,105,679
2020,10,106,172
2020,10,107,1593
2020,11,111,1233
2020,11,112,1549
2020,11,113,1672
2020,11,114,2232
2020,11,115,1206
2020,11,116,1807
2020,11,117,1244
2020,12,121,579
2020,12,122,337
2020,12,123,727
2020,12,124,883
2020,12,125,1263
2020,12,126,522
2020,12,127,887
2020,13,131,1078
2020,13,132,1864
2020,13,133,1246
2020,13,134,1303
2020,13,135,1057
2020,13,136,1722
2020,14,141,223
2020,14,142,241
2020,14,143,1195
2020,14,144,599
2020,14,145,573
2020,14,146,508
2020,15,151,2136
2020,15,152,2929
2020,15,153,1508
2020,15,154,1240
2020,15,155,879
2020,15,156,810
2020,15,157,478
2020,15,158,143
2020,15,159,1213
2020,16,161,405
2020,16,162,1006
2020,16,163,1932
2020,16,164,2130
2020,16,165,542
2020,16,166,2325
2020,17,171,2097
2020,17,172,320
2020,17,173,514
2020,17,174,1195
2020,17,175,1220
2020,18,181,1672
2020,18,182,810
2020,19,191,1251
2020,19,192,501
2020,20,201,1807
2020,20,202,203
2020,20,203,250
2020,20,204,715
2020,20,205,1264
2020,20,206,875
2020,20,207,1362
2020,20,208,549
2020,21,211,862
2020,21,212,210
2020,21,213,382
2020,21,214,523
2020,21,215,427
2021,1,11,2402
2021,1,12,3971
2021,1,13,1693
2021,1,14,2759
2021,1,15,3550
2021,1,16,1797
2021,2,21,938
2021,2,22,1818
2021,2,23,950
2021,2,24,843
2021,2,25,1342
2021,2,26,1790
2021,2,27,64
2021,3,31,1886
2021,3,32,718
2021,3,33,942
2021,3,34,1685
2021,3,35,682
2021,3,36,930
2021,4,41,3053
2021,4,42,2776
2021,4,43,1211
2021,4,44,2566
2021,4,45,1786
2021,4,46,2347
2021,5,51,1925
2021,5,52,2227
2021,5,53,1402
2021,5,54,2401
2021,5,55,2051
2021,5,56,1020
2021,6,61,1429
2021,6,62,3088
2021,6,63,2200
2021,6,64,873
2021,6,65,1167
2021,6,66,1173
2021,7,71,1817
2021,7,72,1784
2021,7,73,2244
2021,7,74,2587
2021,7,75,2162
2021,7,76,1320
2021,8,81,102
2021,8,82,183
2021,8,83,1700
2021,8,84,1712
2021,8,85,1194
2021,8,86,2426
2021,8,87,1292
2021,8,88,656
2021,9,91,642
2021,9,92,2112
2021,9,93,1008
2021,9,94,1058
2021,9,95,503
2021,9,96,362
